Company,Job Role,Stipend,Location
Brihat Infotech Private Limited,Telecalling,"₹ 2,000 /month +  Incentives",Ranchi
Redefine Wealth Investment Advisors LLP,Video Editing/Making,"₹ 15,000 /month",Noida
Aracknoid AI Solutions (Hygge),Research And Operations,"₹ 5,000 /month",Jaipur
Super One Intelligence Vidyarthi Private Limited,Content Writing,"₹ 5,000-8,000 /month",Noida
Bros Labs,Social Media Marketing,"₹ 7,000 /month",Ahmedabad
Yogi Corporation (Dal & Pulse Mills),Digital Marketing,"₹ 5,000 /month",Ahmedabad
StyleSpeak Magazine,Telecalling,"₹ 8,000-13,000 /month",Navi Mumbai
MyMegaminds,Customer Service/Customer Support,"₹ 8,000-12,000 /month",Gaya
Aracknoid AI Solutions (Hygge),Online Counseling- Psychology Student,"₹ 5,000 /month",Jaipur
Jarvics Technologies,Content Writing,"₹ 7,000-12,000 /month",Kangra
Priyanshi  Agrawal,Influencer Marketing,"₹ 5,000-8,000 /month",Ahmedabad
Medisynth Chemicals Private Limited,Graphic Design,"₹ 7,500 /month",Navi Mumbai
Jarvics Technologies,Digital Marketing,"₹ 7,000-15,000 /month",Chandigarh
NexGen Innovators IT Services Private Limited,PHP Development,"₹ 5,000 /month",Delhi
WebDence,Architecture,"₹ 5,000-8,000 /month",Hisar
Wiseman Global LPP,Educational Consulting,"₹ 8,000 /month",Bhubaneswar
Mirats Insights,Lead Generation,"₹ 8,000-10,000 /month",Lucknow
Akrati Jewels Incorporation,Content Writing,"₹ 8,000-10,000 /month",Jaipur
Mirats Insights,Client Acquisition,"₹ 8,000-10,000 /month",Lucknow
Jarvics Technologies,Social Media Marketing,"₹ 7,000-12,000 /month",Ambala
Gigde Global Solutions Private Limited,Business Development (Sales),"₹ 15,000-20,000 /month",Noida
INFINITE HORIZON EXPORTS,Telecalling & Database Management,"₹ 7,000 /month +  Incentives",Nagpur
SR Edu Technologies,Laravel Development,"₹ 10,000-20,000 /month",Hyderabad
Wagtail Industries,Photography,"₹ 8,000-10,000 /month",Mumbai
Wagtail Industries,Business Development (Sales),"₹ 8,000-12,000 /month",Mumbai
Dolphin Ad World Private Limited,Copywriting,"₹ 8,000 /month",Mumbai
Tasuvure,Store Fashion Consultant,"₹ 12,000-15,000 /month",Delhi
Growify Digital,Fashion Consultant,"₹ 10,000-15,000 /month",Delhi
Indian Art Villa,Photo Editing,"₹ 6,000 /month",Jaipur
Jasneet Kaur,FILM ASSISTANT DIRECTION,"₹ 10,000 /month",Delhi
Pro India,Digital Marketing,"₹ 5,000 /month",Gurgaon
Jasneet Kaur,Anchoring,"₹ 10,000 /month",Delhi
InstaAstro,Social Media Marketing,"₹ 10,000 /month",Noida
Akrati Jewels Incorporation,Graphic Design,"₹ 8,000-10,000 /month",Jaipur
Robocapital,Equity Analyst,"₹ 7,000 /month",Mumbai
Ayurveda House Private Limited,Content Creation,"₹ 8,000-10,000 /month",Delhi
Stax Media,Video Editing/Making,"₹ 10,000 /month",Delhi
Pro India,Electrical Engineering,"₹ 5,000 /month",Gurgaon
Even Cargo,Curriculum Design,"₹ 10,000-15,000 /month",Delhi
Enki Studio,Graphic Design,"₹ 15,000 /month",Gurgaon
ASOWin,Event Management,"₹ 2,000-7,000 /week",Navi Mumbai
Underpin Services,Telecalling,"₹ 12,500 /month",Delhi
Even Cargo,Business Research,"₹ 10,000 /month",Delhi
Sutra Services Private Limited,International Business Development,"₹ 15,000 /month",Mumbai
Friends Media,Back Office Operations,"₹ 12,000 /month",Delhi
Ayurveda House Private Limited,Search Engine Optimization (SEO),"₹ 8,000-10,000 /month",Delhi
YourDOST Health Solutions,Business Development Associate (Intern) - Corporate Sales,"₹ 15,000 /month",Delhi
Gold Feather Events,Business Development (Sales),"₹ 7,500 /month",Hyderabad
SR Edu Technologies,Voice Over Artist,"₹ 10,000-25,000 /month",Hyderabad
SR Edu Technologies,Video Presenter,"₹ 20,000-30,000 /month",Hyderabad
Credmarg,Business Development (Sales),"₹ 2,000 /month +  Incentives",Hyderabad
Internshala,Visual Design,"₹ 18,000 /month",Gurgaon
Minus Equals Plus,Social Media Marketing,"₹ 3,000 /month",Panjim
Even Cargo,Campaign Managemnet,"₹ 10,000-15,000 /month",Delhi
Even Cargo,Operations,"₹ 10,000 /month",Delhi
FynTune Solution Private Limited,Human Resources (HR),"₹ 12,000-18,000 /month",Turbhe
Jasneet Kaur,Non Fiction Script Writing,"₹ 10,000 /month",Delhi
ASOWin,Relationship Management,"₹ 9,000 /month",Delhi
Eminent Pro Advisors,Business Development (Sales),"₹ 10,000 /month +  Incentives",Delhi
Pick My Work,Business Development (Sales),"₹ 10,000 /month",Gurgaon
Ayurveda House Private Limited,Social Media Marketing,"₹ 8,000-10,000 /month",Delhi
Relinns Technologies,Human Resources (HR),"₹ 8,000 /month",Mohali
Ayurveda House Private Limited,Instagram Ad Copywriting,"₹ 8,000-10,000 /month",Delhi
Bootstrap Digital Solutions,Social Media Marketing,"₹ 10,000-15,000 /month",Pitampura
Technove Global Software Private Limited,Talent Acquisition,"₹ 2,000 /month",Noida
SR Edu Technologies,Animation,"₹ 10,000-20,000 /month",Hyderabad
APTAGRIM CONSULTING PRIVATE LIMITED,Video Editing/Making,"₹ 15,000 /month",Hyderabad
Pro India,Environmental Sciences,"₹ 5,000 /month",Gurgaon
Even Cargo,Social Media Marketing,"₹ 10,000 /month",Delhi
Grandiose Events And Entertainment,Event Management/Talent Management,"₹ 10,000 /month +  Incentives",Mumbai
Eat Nino Private Limited,Video Editing/Making,"₹ 10,000-15,000 /month",Mumbai
Bootstrap Digital Solutions,Graphic Design,"₹ 5,000-12,000 /month",Pitampura
Jobs Flash Consulting Services,Human Resources (Females),"₹ 8,000 /month",Gurgaon
Petrichor Investment Private Limited,Content Writing,"₹ 10,000 /month",Hyderabad
Petrichor Investment Private Limited,Statistics,"₹ 10,000 /month",Hyderabad
TradeHike Consulting,Facebook & Google Ads,"₹ 7,500-10,000 /month",Delhi
Even Cargo,Video Editing/Making,"₹ 10,000 /month",Delhi
Smartbytes Technology Private Limited,Business Development (Sales),"₹ 5,500 /month",Bangalore
Nikita Gada Label,Fashion Design And Merchandising,"₹ 11,000 /month",Mumbai
Wagtail Industries,Digital Marketing,"₹ 7,000-12,000 /month",Mumbai
Jarvics Technologies,Graphic Design,"₹ 7,000-15,000 /month",Kharar
Pi2 Square Private Limited,Business Development (Sales),"₹ 7,000 /month +  Incentives",Bangalore
Jarvics Technologies,Human Resources (HR),"₹ 7,000-12,000 /month",Ludhiana
The Dutch Door,Operations,"₹ 10,000 /month",Hyderabad
APTAGRIM CONSULTING PRIVATE LIMITED,Graphic Design,"₹ 15,000 /month",Hyderabad
YourDOST Health Solutions,Content Writing,"₹ 15,000 /month",Bangalore
CheQ Digital Private Limited,Community Engagement,"₹ 15,000 /month",Bangalore
HireQuotient,Sales Consultant,"₹ 12,000 /month",Bangalore
Dolphin Ad World Private Limited,Human Resources (HR),"₹ 6,000 /month",Mumbai
Marmeto,Video Editing/Making,"₹ 5,000-10,000 /month",Bangalore
Gnani Innovations,Marketing,"₹ 15,000 /month",Bangalore
DGguru Learning Solutions Private Limited (MentorKart),Founder Office Operations,"₹ 10,000-20,000 /month",Noida
Recipeat,Inside Sales,"₹ 12,000-18,000 /month",Bangalore
YourDOST Health Solutions,Operations,"₹ 15,000-18,000 /month",Bangalore
Material Depot,Content Creation - Social Media (Architectural And Interior Design),"₹ 12,000 /month",Bangalore
XpertHunt,Investment Banker,"₹ 20,000-40,000 /month",Bangalore
Antino Labs Private Limited,Graphic Design,"₹ 15,000 /month",Gurgaon
Alphanumeric Ideas Private Limited,Graphic Design,"₹ 6,000 /month",Zirakpur
4AM Worldwide Advertising Private Limited,Client Servicing,"₹ 10,000 /month",Bangalore
Able Jobs,Operations,"₹ 10,000-15,000 /month",Bangalore
One Root,Business Development (Spoken Hindi Must),"₹ 8,000-10,000 /month",Bangalore
HRipple Solutions,Company Secretary (CS),"₹ 20,000 /month",Mumbai
"We, Innovators",Graphic Design,"₹ 7,000 /month",Bhopal
IQOL Technologies,Real Estate Investment Advisory/Management,"₹ 20,000 /month +  Incentives",Bangalore
Larsen & Toubro,Chartered Accountancy (CA),"₹ 18,000 /month",Mumbai
Trade Brains,Digital Marketing,"₹ 12,000 /month",Bangalore
Elite E2 Private Limited,Marketing,"₹ 10,000 /month",Bangalore
Branch Karma,Digital Marketing,"₹ 5,000 /month",Mira Bhayandar
Rizzle,Human Resources (HR),"₹ 15,000 /month",Hyderabad
ESSI Integrated Technologies,Backend Engineering,"₹ 30,000 /month",Delhi
United9 Entertainment,Marketing,"₹ 5,000 /month",Chennai
Vijya Fintech,Customer Service/Customer Support,"₹ 6,000 /month",Surat
Sulopa Technologies Private Limited,Inside Sales,"₹ 8,000-10,000 /month",Bangalore
Nxcar,Video Editing/Making,"₹ 15,000 /month",Faridabad
Hamari Pahchan NGO,Video Editing/Making,"₹ 10,000-12,000 /month",Delhi
ARBIS WEALTH PRIVATE LIMITED,Business Development (Sales),"₹ 8,500 /month +  Incentives",Mumbai
Elecbits Technologies Private Limited,Graphic Design,"₹ 20,000-30,000 /month",Gurgaon
Able Jobs,Customer Service/Customer Support,"₹ 12,000-15,000 /month",Bangalore
RankItRight Media,Content Writing,"₹ 25,000 /month",Bangalore
Multiversity Private Limited,Content Writing,"₹ 10,000 /month",Pune
SlideUpLift,Video Editing/Making,"₹ 8,000-15,000 /month",Pune
OML Entertainment Private Limited,Branded Content Marketing,"₹ 15,000 /month",Mumbai
DataTrained Education Private Limited,Social Media Marketing,"₹ 10,000 /month",Greater Noida
Breathe ESG,Corporate Sales,"₹ 10,000-15,000 /month",Bangalore
Star Production,Graphic Design,"₹ 3,000-7,000 /month",Delhi
Pereyan LLP,Graphic Design,"₹ 12,000-15,000 /month",Bangalore
Pereyan LLP,Industrial Design,"₹ 12,000-15,000 /month",Bangalore
Parallel Minds,Business Development,"₹ 15,000 /month",Pune
SlideUpLift,Content Writing,"₹ 8,000-15,000 /month",Pune
SlideUpLift,Social Media Marketing,"₹ 10,000-15,000 /month",Pune
Gloval International,Marketing And Sales,"₹ 8,000-15,000 /month",Mumbai
Arcatron Mobility Private Limited,Supply Chain & Logistics Operations,"₹ 12,000 /month",Pune
Binary Numbers,Content Writing,"₹ 10,000-15,000 /month",Mumbai
Vision Earthcare Private Limited,Law/Legal,"₹ 7,000-10,000 /month",Mumbai
Goodera,Talent Acquisition,"₹ 10,000-15,000 /month",Bangalore
Able Jobs,E-Commerce Marketing,"₹ 20,000 /month",Bangalore
Eupheus Learning,Company Secretary (CS),"₹ 10,000 /month",Delhi
