Company,Job Role,Stipend,Location
Purple Bridge Consultancy,Backend And HR Support,"₹ 5,000 /month",Noida
Proplant Recyclers LLP,Marketing,"₹ 10,000-12,000 /month",Bangalore
VCQRU - We Secure You,Digital Marketing,"₹ 12,000 /month",Gurgaon
Brainbean Technolabs Private Limited,Social Media Marketing,"₹ 5,000 /month",Work From Home
Lilypad,E-Commerce Marketing,"₹ 8,000-10,000 /month",Work From Home
Kraft Education,Business Management And Administration,"₹ 8,000-12,000 /month",Mumbai
Mobillor Technologies Private Limited,Talent Acquisition,"₹ 7,500 /month",Work From Home
Roda Agro Company,Digital Marketing,"₹ 10,000-15,000 /month",Varanasi
Vio Stays,Guest Relations Executive,"₹ 5,000-10,000 /month",Anjuna
Naveen Kumar S U,Operations,"₹ 5,000 /month",Bangalore
Yotric Solutions,Search Engine Optimization (SEO),"₹ 3,000-7,000 /month",Work From Home
Ossus Biorenewables Private Limited,Microbiology,"₹ 10,000 /month",Bangalore
Plush Silver,Sales,"₹ 5,000 /month",Mumbai
Sanctity YTT,Finance,"₹ 5,000 /month",Gurgaon
INoble Infoway Private Limited,Digital Marketing,"₹ 2,000 /month +  Incentives",Coimbatore
Saregama India Limited,Marketing,"₹ 5,000-10,000 /month",Mumbai
MyTokri,2D Sketch Art,"₹ 12,000 /month",Work From Home
Corizo,Market Research,"₹ 2,000 /month +  Incentives",Work From Home
Improvians,Embedded Systems,"₹ 8,000-12,000 /month",Mumbai
Vivek Kumar,Marketing,"₹ 2,000 /month +  Incentives",Work From Home
Taaramitra,Fashion Design And Merchandising,"₹ 3,000-5,000 /month",Bangalore
Lawgical India Business Developers Private Limited,Video Editing/Making,"₹ 3,000 /month",Agra
Your Digital Lift,Videography,"₹ 5,000-10,000 /month",Mumbai
Ctruh,Graphic Design,"₹ 20,000 /month",Bangalore
Qriocity Ventures Private Limited,Photography,"₹ 10,000-15,000 /month",Work From Home
Éclat Media Worldwide,Client Servicing,"₹ 5,000-10,000 /month",Mumbai
Ouriken - IT Services & IT Consulting,Digital Marketing,"₹ 5,000 /month",Noida
Plunes Healthcare,Financial Accountant,"₹ 15,000 /month",Gurgaon
W3Dev,UI/UX Design,"₹ 8,000-11,000 /month",Noida
W3Dev,Android App Development,"₹ 5,000-7,000 /month",Noida
Next Gen Publishing Private Limited,Corporate Awards Coordination & Social Media Management,"₹ 3,000 /month",Work From Home
W3Dev,iOS App Development,"₹ 11,000-13,000 /month",Noida
FynTune Solution Private Limited,PHP Development,"₹ 12,000-18,000 /month",Thane
W3Dev,JavaScript Development,"₹ 10,000-12,000 /month",Noida
Max Fitness Private Limited,Telecalling,"₹ 8,000-12,000 /month",Mohali
Imperfecto,Social Media Marketing,"₹ 20,000 /month",Noida
Quantum IT Innovation,Human Resources (HR),"₹ 8,000-10,000 /month",Work From Home
Sharma Automotive Pvt Ltd,Business Research,"₹ 8,000-12,000 /month",Vadodara
Urbanroof,Business Development (Sales),"₹ 10,000 /month",Pune
One Events India,Event Management,"₹ 2,000-10,000 /month",Gurgaon
LogicLoom IT Solutions Private Limited,Digital Marketing,"₹ 5,000 /month",Work From Home
WebBila Internet Private Ltd,Social Media Marketing,"₹ 3,000 /month +  Incentives",Mohali
Web3 O' Clock,Graphic Design,"₹ 5,000 /month",Work From Home
Biostim Innovations Private Limited,Mechanical Engineering,"₹ 10,000-20,000 /month",Hyderabad
Guruji Astro,AWS DevOps Engineer,"₹ 8,000-10,000 /month",Jaipur
CC Yard Private Limited,Video Editing/Making,"₹ 13,000-15,000 /month",Bangalore
Olympia Industries Limited,Backoffice & Telesales,"₹ 10,000 /month",Mumbai
Meta Minds,Digital Marketing,"₹ 5,000-10,000 /month",Thane
Vinit Patil,UX/UI Design,"₹ 5,000 /month",Work From Home
Vidhi Desai,Interior Design,"₹ 5,000 /month",Mumbai
Stalwart Career Institute,Social Media Marketing,"₹ 3,000 /month",Indore
Urban Company,Business Development (Sales),"₹ 20,000-22,000 /month",Chandigarh
RAMJA Genosensor Private Limited,Electronics Engineering,"₹ 5,000 /month",Delhi
Universal Management Consultants,Digital Marketing,"₹ 5,000-7,000 /month",Work From Home
Retail Grapple,Content Writing,"₹ 4,000-6,000 /month",Work From Home
ConnectFor,Operations,"₹ 10,000 /month",Mumbai
Cornerstone Architects,Architecture,"₹ 2,000 /month",Chennai
BrainCraft TechLab,Video Editing/Making,"₹ 5,000-15,000 /month",Work From Home
MetaBlock,Social Media Marketing,"₹ 2,000-5,000 /month",Jaipur
Captabl,Sales,"₹ 3,000 /month +  Incentives",Work From Home
Manek Immigration Services,Graphic Design,"₹ 6,000 /month",Mumbai
Agency Digitas,Graphic Design,"₹ 14,000 /month",Noida
Stareoutfit Ind Pvt Ltd,Fashion Design,"₹ 3,000-7,000 /month",Noida
Farmer's Table,Operations,"₹ 4,000 /month",Mumbai
BHARAT GENIUS SEARCH PRIVATE LIMITED,Technical Research,"₹ 10,000 /month",Noida
Educational Rating And Assessment Foundation,Customer Service/Customer Support,"₹ 13,000 /month",Bangalore
SkillConnekt,Sales,"₹ 2,000 /month +  Incentives",Work From Home
Musoke,Sales,"₹ 15,000-20,000 /month",Work From Home
Shag Infotech Private Limited,Business Development (Sales),"₹ 10,000 /month",Jaipur
Quantum IT Innovation,Software Testing,"₹ 8,000-10,000 /month",Work From Home
NexGen Innovators IT Services Private Limited,Human Resources (HR),"₹ 5,000 /month",Delhi
Tungsten Studio Private Limited,Product Design,"₹ 12,000 /month",Noida
EARLY2NINE,International Business Development,"₹ 8,000-12,000 /month",Gurgaon
Datalligence AI Private Limited,Visual Storyteller,"₹ 5,000 /month",Chennai
RDA Ventures LLP,Digital Marketing,"₹ 5,000 /month",Pune
Prabisha Consulting Private Limited,Animation,"₹ 5,000 /month",Work From Home
Wellness Garden,Graphic Design,"₹ 10,000 /month",Work From Home
Grahun,Web Scraping,"₹ 10,000-15,000 /month",Work From Home
Windzard Technologies Private Limited,Graphic Design,"₹ 5,000 /month +  Incentives",Chennai
Ideate India,Customer Acquisition,"₹ 4,000 lump sum",Work From Home
Hybrid Aesthetic,Video Editing/Making,"₹ 10,000-15,000 /month",Work From Home
GoodMoneyMan,Content Development And Management,"₹ 3,000-5,000 /month",Kolkata
iWebbies Web Solution Private Limited,Business Development (Sales),"₹ 12,000 /month",Noida
Joints Health Private Limited,Fashion Design (Sportswear & Apparel),"₹ 6,000 /month +  Incentives",Delhi
PlanCover,Corporate Sales,"₹ 15,000 /month",Gurgaon
Hir'd Services Private Limited,Digital Marketing,"₹ 6,000 lump sum",Indore
STEP One Step Ahead,UiPath Development,"₹ 2,000-3,000 /month",Thane
GeeksforGeeks,Marketing Intern (Copywriting),"₹ 15,000 /month",Noida
Torgos Management,International Business Development,"₹ 5,000-10,000 /month",Work From Home
Tulja Estate Private Limited,Law/Legal,"₹ 5,500 /month",Ahmedabad
Radiant Techsolutions,Digital Marketing,"₹ 1,000 /month",Work From Home
Finstart Services LLP,Marketing,"₹ 5,000-8,000 /month",Ahmedabad
Sapphire ITServices,Social Media Marketing,"₹ 1,500 /month",Work From Home
Mensa Brand Technologies Private Limited,Content Writing,"₹ 8,000-10,000 /month",Gurgaon
EduGyaan,Customer Service/Customer Support,"₹ 8,000-10,000 /month",Bhopal
AQM Technologies,Human Resources (HR),"₹ 14,500 /month",Mumbai
BIRCH Athletica,Fashion Design And Merchandising,"₹ 3,000 /month",Delhi
3AM India,Logistics And Operations,"₹ 5,000-10,000 /month",Hyderabad
Digital Sukoon,Social Media Marketing,"₹ 8,000 /month +  Incentives",Mumbai
Nuances With Nidhi,Digital Media And Operations,"₹ 5,000 /month",Delhi
Throughlocals,Lead Generation,"₹ 1,000 /month +  Incentives",Work From Home
House Of Creator,Media & Public Relations (PR),"₹ 8,000 /month",Indore
Wiscon Industries Limited,Telecalling,"₹ 12,000 /month",Delhi
Tejaswini Sv,Market Research,"₹ 2,000 /month +  Incentives",Work From Home
Vikalp India Private Limited,Web Developer,"₹ 6,000-9,000 /month",Work From Home
De Sorpresa,Human Resources (HR),"₹ 3,000 /month +  Incentives",Delhi
My Aimate,Business Development (Sales),"₹ 10,000 /month +  Incentives",Work From Home
Inniti Alliance Private Limited,Graphic Design,"₹ 5,000 /month +  Incentives",Pune
3D COMPUTING,Altium PCB Design,"₹ 12,000 /month",Delhi
Slay,Apparel Merchandising,"₹ 5,000 /month +  Incentives",Noida
Mahima Sethiya,Social Media Marketing,"₹ 3,000 /month +  Incentives",Mumbai
NRIWAY,Marketing,"₹ 1,000 /month",Work From Home
Kriyaniti,Human Resources (HR),"₹ 2,000 /month +  Incentives",Ranchi
Divaaglam Private Limited,Customer Service/Customer Support,"₹ 10,000-13,000 /month",Mumbai
Star Watch Technologies,Market Research,"₹ 5,000-10,000 /month",Work From Home
SOFTECH System and Solution,Web Development,"₹ 7,000 /month",Dharmapuri
Makerble,Marketing & Content Creation,"₹ 10,000-15,000 /month",Work From Home
Sensio,Embedded Systems,"₹ 15,000-25,000 /month",Bangalore
OfBusiness (OFB Tech Private Limited),Digital Marketing,"₹ 25,000 /month",Gurgaon
Serviam Manpower Private Limited,Human Resources (HR),"₹ 8,000 /month",Thane
Star Coworking,Operations,"₹ 5,000 /month",Mumbai
Windmill Creations,Law/Legal,Unpaid,Kanjanoor
Kan Innovations,Graphic Design,"₹ 10,000 /month",Mumbai
NIYA WELLBEING SOLUTIONS PVT LTD,Business Development (Sales),"₹ 4,000 /month",Work From Home
Zinnov Management Consulting,Business Development (Sales),"₹ 15,000 /month",Bangalore
Induct Finance (Quasar Pulse Technology Private Limited),Android App Development,"₹ 12,005 /month +  Incentives",Work From Home
Nutrabay,Visual Design,"₹ 15,000 /month",Gurgaon
Khalid Kadri,Sales Consultant,"₹ 7,500 /month",Vapi
ITM Group Of Institutions,Social Media Marketing,"₹ 7,500 /month",Raipur
EazyDiner,Content Management,"₹ 10,000 /month",Gurgaon
CareerDNA,Social Media Marketing,"₹ 5,000 /month",Kolkata
A&A Consulting Services LLP,Human Resources (HR),"₹ 1,000 /month +  Incentives",Work From Home
Neokred Technologies Private Limited,Human Resources (HR),"₹ 10,000 /month",Bangalore
Techvastra,Backend Development,"₹ 18,000-20,000 /month",Work From Home
CityMall,Business Research,"₹ 10,000-15,000 /month",Gurgaon
The Cover Up Project,Graphic Design,"₹ 7,000-10,000 /month",Mumbai
Primary Healthtech,Printed Circuit Board Designer,"₹ 5,000 /month",Delhi
SocioLadder,Field Surveying,"₹ 3,000-7,000 /month",Chittoor
Radiant Techlearning,Content Writing,"₹ 1,000 /month",Work From Home
Mompreneur Circle,Community Management,"₹ 6,000-10,000 /month",Work From Home
Aekansh Digima,Social Media Marketing,"₹ 3,500-7,000 /month",Raipur
Udshaa,Lead Generation,"₹ 5,000 /month",Work From Home
A A Garg & Company,Auditing & Accounting,"₹ 10,000 /month",Mumbai
CFO CORPORATE ADVISORS AND SERVICES,Company Secretary (CS),"₹ 8,000-15,000 /month",Mumbai
TechMatrick Digital Solutions,Client Servicing,"₹ 5,000 /month",Work From Home
The Council Of EU Chambers Of Commerce,Executive,"₹ 7,000 /month",Mumbai
AgroStar,Law/Legal,"₹ 15,000 /month",Pune
Digital Factorys,Telecalling,"₹ 10,000 /month",Work From Home
Ujjawal Solar,Digital Marketing,"₹ 3,000-10,000 /month",Faridabad
Adstacks Media,Graphic Design,"₹ 10,000 /month",Gurgaon
Focus Digital,Digital Marketing,"₹ 4,000-7,000 /month",Ahmedabad
GRK Foundation,Digital Marketing,"₹ 1,000 /month +  Incentives",Work From Home
Business Charcha,Anchoring,"₹ 4,000 /month",Work From Home
ViralChilly,WordPress Development,"₹ 5,000 /month",Jaipur
UIUX Studio Private Limited,Project Management,"₹ 10,000-15,000 /month",Himachal Pradesh
Antraweb Technologies Private Limited,Social Media Marketing,"₹ 8,000 /month",Mumbai
WhatKnot Photography,Social Media Marketing,"₹ 10,000-12,000 /month",Mumbai
Knowmyslots,Content Creation & Resource Collection,"₹ 8,000-12,000 /month",Work From Home
InCruiter,Human Resources (HR),"₹ 5,000 /month",Bangalore
Lead Life Learning,Lead Generation,"₹ 10,000 /month",Bangalore
Midautumn Rains Lifestyle Private Limited,Digital Marketing,"₹ 5,000-10,000 /month",Gurgaon
Kumudini Educational Cum Charitable Trust,Market Research,"₹ 7,500-10,000 /month",Panipat
Infra Bay Private Limited,Business Development (Sales),"₹ 5,000 /month +  Incentives",Jamshedpur
Good Cause,Search Engine Optimization (SEO),"₹ 5,000-10,000 /month",Delhi
ISparrow Services Private Limited,Content Writing,"₹ 10,000 /month",Noida
Neerworks,ERP Support,"₹ 2,000 /month",Work From Home
Fashion Nova UK,Fashion Consultant,"₹ 35,000 /month",Work From Home
Geeky Session,Stock Market Management,"₹ 1,000 /month +  Incentives",Work From Home
Sahyadri Foundation,Social Work,Unpaid,Work From Home
Social Sutra,Digital Marketing,"₹ 7,000 /month",Work From Home
Techchef Consulting India,Inside Sales,"₹ 10,000 /month",Mumbai
Filament-Fabrics & More,Fashion Design,"₹ 8,000-12,000 /month",Work From Home
Anirudhham Films,Video Editing/Davinci Resolve/Adobe Premiere Pro,"₹ 5,000-11,000 /month",Work From Home
Sunstone Education Technology Private Limited,Talent Acquisition,"₹ 10,000 /month",Gurgaon
Bear Wardrobes,Search Engine Optimization (SEO),"₹ 5,000 /month",Work From Home
Niswarth – The Selfless,Social Media Marketing,Unpaid,Work From Home
Alippo,Video Editing/Making,"₹ 13,000-15,000 /month",Work From Home
Adeptd,Search Engine Optimization (SEO),"₹ 10,000 /month",Work From Home
Scentira,E-commerce Associate,"₹ 3,000 /month",Work From Home
Webnest Software Solutions Private Limited,Digital Marketing,"₹ 5,000 /month +  Incentives",Work From Home
Minimalix,Business Development (Sales),"₹ 5,000 /month",Work From Home
Crosspoles,Customer Service/Customer Support,"₹ 10,000 /month",Jaipur
Royind Future,Digital Artist,"₹ 2,000 /month",Work From Home
AideWiser SolTek,Talent Acquisition,"₹ 2,000 /month",Work From Home
Ayati Devices Private Limited,Client Success Executive,"₹ 12,000-18,000 /month",Bangalore
"Arnifi (Dubai, United Arab Emirates)",Search Engine Optimization (SEO),"₹ 20,000 /month",Work From Home
Sowdix India,Graphic Design,"₹ 3,000 /month",Work From Home
Studio 8 Designs,Accounting & Bookkeeping,"₹ 5,000 /month",Bangalore
Guruji Astro,Human Resources (HR),"₹ 5,000 /month",Work From Home
Immodest Branding Communications,Marketing,"₹ 2,000 /month +  Incentives",Mumbai
Danstring Technologies Private Limited,WordPress Development,"₹ 5,000 /month",Delhi
WebnU,Business Development (Sales),"₹ 1,000 /month +  Incentives",Work From Home
Divyangna Sharma,Social Media Associate,"₹ 5,000 /month",Work From Home
EFeedor,Customer Service/Customer Support,"₹ 10,000 /month",Chennai
KRIYANITI Consultancy Services Private Limited,Video Editing/Making,"₹ 2,000 /month +  Incentives",Ranchi
Comzent Technologies Private Limited,Content Writing,"₹ 2,000 /month",Work From Home
Artklim,Influencer Marketing,"₹ 4,000-8,000 /month",Work From Home
Vegrow,Category Management,"₹ 8,000-10,000 /month",Bangalore
Urbanroof,Human Resources (HR),"₹ 10,000 /month",Pune
Saregama India Limited,Product Management,"₹ 5,000-10,000 /month",Mumbai
T&T Consulting Corporation,Accounting & Taxation,"₹ 3,000-5,000 /month",Pune
Manastu Space Technologies,Human Resources (HR),"₹ 15,000 /month",Mumbai
Dramantram Production,Graphic Design,"₹ 8,000 /month",Delhi
Ambaji Enterprises,Chemistry,"₹ 7,000 /month",Panchkula
Md Kamran,Digital Marketing,"₹ 2,000-12,000 /month",Delhi
Deeraj Property Management & Real Estate Services,Search Engine Optimization (SEO),"₹ 3,000 /month",Work From Home
Wormos,Digital Marketing,"₹ 4,000 /month +  Incentives",Work From Home
Kalanya Fashions Private Limited,Fashion Consultant,"₹ 8,000-12,000 /month",Indore
Touchworks Publishing LLP,Mechanical Engineering,"₹ 10,000-35,000 /month",Mumbai
The Digimix,Graphic Design,"₹ 2,000 /month",Work From Home
Duolop Technologies Private Limited,Content Creation - Tamil/Telugu/Kannada/Malayalam,"₹ 2,500 /month",Work From Home
The Peak View Stories,Content Writing,"₹ 2,000-3,000 /month",Work From Home
WiloFrames,Human Resources (HR),"₹ 1,000 /month +  Incentives",Work From Home
Offbeat Media,Fashion Consultant,"₹ 5,000-7,000 /month",Mumbai
BYCSS (Ayurvedic FMCG Product),Database Building/Management,"₹ 5,000 /month",Work From Home
Vryse,Search Engine Optimization (SEO),"₹ 20,000 /month",Work From Home
Gods Own Child,Social Media Marketing,"₹ 2,500-5,000 /month",Work From Home
Sparkles Dental,Digital Marketing,"₹ 5,000 /month",Hyderabad
SEO HORIZON,Video Editing/Making,"₹ 5,000 /month",Work From Home
HSUX Solutions LLP,WordPress Development,"₹ 5,000 /month +  Incentives",Ahmedabad
Rank Me One,Video Editing/Making,"₹ 1,500-4,500 /month",Work From Home
OASIS Gurgaon,Product Marketing,"₹ 8,000 /month +  Incentives",Gurgaon
Appin Technologies,Customer Service/Customer Support,"₹ 10,000-12,000 /month",Surat
Sharath M,Video Editing/Making,"₹ 10,000 /month +  Incentives",Bangalore
RAdha Sharma,Social Media Marketing,"₹ 5,000 /month",Work From Home
TechWhoop,Video Editing/Making,"₹ 5,000 /month",Work From Home
Airmeet,Business Development (Sales),"₹ 15,000 /month",Work From Home
SoulEET Makers LLP,Electronics Hardware,"₹ 10,000-12,000 /month",Pune
Taxi Bazaar,Content & E-Commerce Management,"₹ 8,000-16,000 /month",Work From Home
Sambuq,Business Development (Sales),"₹ 15,000 /month",Mumbai
Atelierish Media,Sales,"₹ 15,000-40,000 /month",Kolkata
Qriocity Ventures Private Limited,Customer Service/Customer Support,"₹ 2,000-3,000 /month",Work From Home
Lawtech,Video Educator (Substantive And Procedural Law),"₹ 6,000-8,000 /month",Work From Home
Blackcoffer,Campus Ambassador,Performance Based,Work From Home
Recruit CRM,HUMAN RESOURCES GENERALIST,"₹ 12,000 /month",Work From Home
Recruit CRM,Graphic Design,"₹ 7,500 /month",Work From Home
Brain Inventory,Social Media Marketing,"₹ 5,000 /month",Indore
Lawtech,Content Development (Mathematics),"₹ 8,000-10,000 /month",Work From Home
Lawtech,Email Marketing Template Designer,"₹ 5,000-7,000 /month",Work From Home
Lawtech,UPSC Content Curator,"₹ 6,000-8,000 /month",Work From Home
Advikart,Marketing,"₹ 1,000 /month",Work From Home
Lawtech,Legal Content Developer,"₹ 6,000-8,000 /month",Work From Home
House Of Black Mamba,3D Printing,"₹ 8,000 /month",Mumbai
Lawtech,IPad Artist/Illustrator,"₹ 8,000-10,000 /month",Work From Home
Lawtech,Video Editing/Making,"₹ 8,000-10,000 /month",Work From Home
Jain Timber Merchant,Data Entry,"₹ 5,000-10,000 /month",Delhi
The Concept Co.,Business Development (Sales),"₹ 7,000 /month",Mumbai
Pawzz,Recruitment,"₹ 6,000-12,000 /month",Work From Home
Footgeared.com,Content Writing,₹100 /Write-up,Work From Home
SHOBHA R & Co.,Bank Audit,"₹ 10,000 /month +  Incentives",Bangalore
Kokku Proptech Private Limited (Konu),Videography & Video Editing,"₹ 2,500 /month",Hyderabad
Mmeents,Social Media Marketing,"₹ 1,000 /month +  Incentives",Work From Home
I Love My Healthy Heart ™,Social Media Marketing,"₹ 4,000-8,000 /month",Work From Home
FM Future Labs,Research,"₹ 5,000 /month",Palghar
Across The Globe (ATG),3D Modelling & VFX,"₹ 4,000-7,000 /month",Work From Home
Academy Of Aural Arts,Center Coordinator,"₹ 5,000-12,000 /month",Noida
Vikalp India Private Limited,Online English Faculty For School Kids,"₹ 5,000-8,000 /month",Work From Home
TIKAJ Technologies Private Limited,Technical Operations Analyst,"₹ 8,000 /month",Lucknow
SaajDesigns,Fashion Design,"₹ 10,000 /month",Bangalore
Monkhub,Game Development,"₹ 5,000-10,000 /month",Work From Home
Idea Usher,Marketing Automation Developer,"₹ 10,000-15,000 /month",Work From Home
Exacuer Globel,Business Development (Sales),"₹ 5,000 /month",Pune
Uboard India Limited,Data Entry,"₹ 7,000-10,000 /month",Delhi
SkillStreet,Backend Development,"₹ 20,000 /month",Work From Home
Addreach Media,Performance Marketing,"₹ 5,000-10,000 /month",Work From Home
Advert Tree Solutions LLP,Content Writing,"₹ 8,000 /month",Delhi
Isourse,Digital Marketing,"₹ 20,000 /month",Delhi
Poornima Trehan,Video Editing/Making,"₹ 2,000 /month",Work From Home
CredResolve (Credhas Technology Private Limited),Business Analytics,"₹ 15,000 /month",Gurgaon
Xplorazzi Adventures,"3D Modelling, Animation & Editing","₹ 5,000 /month",Work From Home
Sosh Club Private Limited,Content Creation,"₹ 10,000 /month",Bangalore
Ground Cyber Private Limited,Digital Marketing,"₹ 3,000 /month +  Incentives",Bareilly
DigiFly Technology(OPC) Private Limited,Search Engine Optimization (SEO),"₹ 15,000 /month",Gurgaon
Kyogg,Recruitment,"₹ 4,000 /month +  Incentives",Work From Home
ShipHaven,Project Management,"₹ 3,000 /month +  Incentives",Work From Home
SKAYKA PRIVATE LIMITED,Sales,"₹ 8,000-15,000 /month",Pune
SkillStreet,Front End Development,"₹ 20,000 /month",Work From Home
Teqlawn Solutions,Digital Marketing,"₹ 3,000-5,000 /month",Work From Home
Indian Nest,Sales Consultant,"₹ 8,000 /month +  Incentives",Work From Home
Barahami Legal Services,Law/Legal,"₹ 5,000 /month",Delhi
Interglade Solutions Pvt Ltd,Marketing,"₹ 5,000 /month",Pune
Instituterank,Search Engine Optimization (SEO),"₹ 3,000 /month",Work From Home
I Lead Digital Academy,Digital Marketing,"₹ 6,000-10,000 /month",Bangalore
Icon Resources,Marketing,"₹ 10,000 /month",Noida
Llama Learning Solutions,Lead Generation,"₹ 5,000 /month +  Incentives",Bangalore
Dezerv,Business Operations,"₹ 20,000 /month",Bangalore
Soul Miracles,Video Editing/Making,"₹ 2,000-3,000 /month",Work From Home
SB Play School,Office Management,"₹ 8,000-12,000 /month",Delhi
Germanywale,Operations,"₹ 4,500-7,500 /month",Work From Home
Persist Ventures,Video Editing/Making,"₹ 12,500 /month",Work From Home
Combat Robotics India Private Limited,Embedded Linux Super,"₹ 20,000 /month",Pimpri-Chinchwad
BullTech Trading & Research,Research Analyst (Forex & Commodity),"₹ 1,000 /month",Work From Home
Shree Vigneshvar Fabrications,Financial Accountant,"₹ 5,000 /month",Bangalore
ImpulseChitra,Operations,"₹ 1,000 /month",Work From Home
Atelierish Media,Telecalling,"₹ 10,000-20,000 /month",Kolkata
Atelierish Media,Business Development (Sales),"₹ 8,000-20,000 /month",Kolkata
Elite Offshore Private Limited,Digital Marketing,"₹ 10,000 /month",Navi Mumbai
Celebebook.com,Telecalling,"₹ 6,000 /month",Work From Home
Techsphere,Project Management,"₹ 10,000 /month",Mumbai
A Plus R Architects,Digital Marketing,"₹ 5,000-10,000 /month",Coimbatore
Boongg,Business Development (Sales),"₹ 5,000 /month",Pune
Neuranics Lab Private Limited,Mechanical Engineering,"₹ 20,000 /month",Gurgaon
BPE (Brandland Property Expo),Client Servicing,"₹ 7,000 /month",Bangalore
Werbens,Graphic Design,"₹ 5,000 /month",Work From Home
Mehak Thakkar,Social Media Marketing,"₹ 2,500 /month",Work From Home
Artemis Foundation,Law/Legal,Unpaid,Work From Home
Aditya N Prasad,Law/Legal,"₹ 5,000 /month",Delhi
Recruit CRM,Content Writing,"₹ 7,500 /month",Work From Home
Recruit CRM,Digital Marketing,"₹ 7,500 /month",Work From Home
Lawtech,Digital Marketing (Meme & Carousel Making),"₹ 6,000-8,000 /month",Work From Home
Lawtech,Telecalling,"₹ 10,000 /month",Work From Home
Lawtech,Content Development (English),"₹ 8,000-10,000 /month",Work From Home
Zesto Hospitality,Hotel Management (Operations),"₹ 10,000 /month",Bangalore
Kaushal Sheth And Associates,Architecture,"₹ 10,000-15,000 /month",Gurgaon
SwasthAham,Human Resources (HR),"₹ 1,000 /month",Work From Home
TGG Foundation,Accounting & Bookkeeping,"₹ 6,000 /month",Bangalore
PMS INDIA,Mechanical Engineering,"₹ 15,000 /month",Chennai
CareerNaksha,Social Media Marketing,"₹ 5,000 /month",Bharuch
Cinchbucks,Motion Graphics,"₹ 10,000 /month",Work From Home
Vruksh Ecosystems,Community Management,Unpaid,Work From Home
MyMegaminds,MegaStat Assignment,"₹ 10,000-15,000 /month",Work From Home
SafeSquid Labs,UX/UI Design,"₹ 5,000 /month",Dombivli
La Forêt French Class,Business Development (Sales),"₹ 10,000-15,000 /month",Ahmedabad
Roslin Institute Of Concepts (OPC) Private Limited,Digital Marketing,"₹ 1,000 /month",Work From Home
Mann Herbal,Graphic Design,"₹ 1,500 /month",Work From Home
Livasys IT Solutions,Digital Marketing,"₹ 5,000 /month",Work From Home
Citispotter,Sales,"₹ 2,000 /month",Work From Home
MHLondon,Business Analytics,"₹ 10,000 /month",Noida
SAPE PLACEMENTS,Marketing,"₹ 5,000 /month",Jabalpur
Triluxo Technologies Private Limited,QA Testing,"₹ 2,000 /month",Work From Home
The Pop Street,Video Editing/Making,"₹ 3,000 /month",Work From Home
Rupicard,Social Media Marketing,"₹ 14,000 /month",Bangalore
The Grey Cells,Digital Marketing,"₹ 3,000 /month",Work From Home
Bizzaro,Content Writing,"₹ 5,000-10,000 /month",Work From Home
Metricoid Technology Solutions Private Limited,Search Engine Optimization (SEO),"₹ 4,000 /month",Work From Home
Metricoid Technology Solutions Private Limited,Lead Generation,"₹ 4,000 /month",Work From Home
Abhiprerana ATE World Talk,Video Editing/Making,"₹ 2,000-5,000 /month",Varanasi
Kokku Proptech Private Limited (Konu),Photography,"₹ 2,500 /month",Work From Home
Indian Car Guruji,Video Editing/Making,"₹ 10,000-15,000 /month",Work From Home
HTH Technolabs Private Limited,Business Development,"₹ 13,000 /month",Bangalore
Acme Services,Human Resources (HR),"₹ 5,000 /month",Mumbai
Solesco,Business Development (Sales),"₹ 7,000 /month +  Incentives",Work From Home
Hiring Eye,Digital Marketing,"₹ 7,000 /month",Hyderabad
Next Labs,Client Servicing,"₹ 10,000 /month",Mumbai
CodeZaZa Digital And Software Solutions,Search Engine Optimization (SEO),"₹ 1,000 /month",Work From Home
Qoruz,Influencer Marketing,"₹ 10,000 /month",Bangalore
AAP Pune,Policy Research,Unpaid,Pune
Radish Consultants Private Limited,US IT Recruitment,"₹ 8,000-12,000 /month",Hyderabad
Viatrix Inc.,Telecalling (Sales),"₹ 5,000 /month +  Incentives",Work From Home
IWebcode,WordPress Development,"₹ 8,000 /month",Mohali
Flashpe,Hotel Management (Operations),"₹ 10,000 /month",Hyderabad
Hillborn Technologies Private Limited,Video Editing/Making,"₹ 1,000 /month",Work From Home
Horizon9 Advertising & Brand Consultants Limited,Copywriting,"₹ 5,000-10,000 /month",Delhi
The RAD Workshop,Product Design,"₹ 5,000-8,000 /month",Work From Home
Vayuz Technologies,Business Development (Sales),"₹ 12,000-14,000 /month",Noida
EvolutionCo Digital & Interactive Consultancy Private Limited,Content Writing,"₹ 5,000 /month",Mumbai
OPTHO LIFESCIENCES PVT LTD.,Human Resources (HR),"₹ 15,000 /month",Noida
TopPropMart,Sales Consultant,"₹ 3,000 /month",Lucknow
Yuvaan,Fashion Design And Merchandising,"₹ 2,000 /month",Pune
U & I Travels,Travel Consultant,"₹ 10,000 /month +  Incentives",Delhi
SF Pardawala,Operations,"₹ 5,000 /month",Mumbai
EG Allied Private Limited,UI/UX Design,"₹ 2,000 /month",Work From Home
Rang De Bharat Foundation,Content Writing,"₹ 5,000 /month",Bangalore
Cosmic Pickles,Social Media Marketing,"₹ 13,000 /month",Kolkata
Totality Solutions,Social Media Marketing,"₹ 8,000 /month",Mumbai
SAPNA BUILDCON,Site Engineering - Interior Design,"₹ 2,500 /month +  Incentives",Work From Home
